TIME,DC_POWER,DATE
2020-05-16 09:45:00,21132.76523809524,1
2020-05-16 10:00:00,17822.166666666668,1
2020-05-16 10:15:00,18617.789523809523,1
2020-05-16 10:30:00,16596.39476190476,1
2020-05-16 10:45:00,17041.871428571427,1
2020-05-16 11:00:00,17570.84857142857,1
2020-05-16 11:15:00,17782.994761904763,1
2020-05-16 11:30:00,18292.12,1
2020-05-16 11:45:00,17485.090952380953,1
2020-05-16 12:00:00,16119.827142857142,1
2020-05-16 12:15:00,13660.139047619046,1
2020-05-16 12:30:00,15947.421428571428,1
2020-05-16 12:45:00,11057.164285714285,1
2020-05-16 13:00:00,16365.330476190476,1
2020-05-16 13:15:00,16549.509047619045,1
2020-05-16 13:30:00,17928.887142857144,1
2020-05-16 13:45:00,10545.405714285715,1
2020-05-16 14:00:00,13976.78,1
2020-05-16 14:15:00,18914.999047619047,1
2020-05-16 14:30:00,19055.24380952381,1
2020-05-16 14:45:00,13788.718571428572,1
2020-05-16 15:00:00,13911.71380952381,1
2020-05-16 15:15:00,9766.206666666667,1
2020-05-16 15:30:00,12599.598095238094,1
2020-05-16 15:45:00,10075.410952380953,1
2020-05-16 16:00:00,7246.648095238095,1
2020-05-16 16:15:00,7005.188571428571,1
2020-05-16 16:30:00,3638.2066666666665,1
2020-05-16 16:45:00,2197.7514285714287,1
2020-05-16 17:00:00,2814.942380952381,1
2020-05-16 17:15:00,989.4195238095238,1
2020-05-16 17:30:00,351.05333333333334,1
2020-05-16 17:45:00,170.07333333333332,1
2020-05-16 18:00:00,17.282857142857143,1
2020-05-16 18:15:00,0.0,1
2020-05-16 18:30:00,0.0,1
2020-05-16 18:45:00,0.0,1
2020-05-16 19:00:00,0.0,1
2020-05-16 19:15:00,0.0,1
2020-05-16 19:30:00,0.0,1
2020-05-16 19:45:00,0.0,1
2020-05-16 20:00:00,0.0,1
2020-05-16 20:15:00,0.0,1
2020-05-16 20:30:00,0.0,1
2020-05-16 20:45:00,0.0,1
2020-05-16 21:00:00,0.0,1
2020-05-16 21:15:00,0.0,1
2020-05-16 21:30:00,0.0,1
2020-05-16 21:45:00,0.0,1
2020-05-16 22:00:00,0.0,1
2020-05-16 22:15:00,0.0,1
2020-05-16 22:30:00,0.0,1
2020-05-16 22:45:00,0.0,1
2020-05-16 23:00:00,0.0,1
2020-05-16 23:15:00,0.0,1
2020-05-16 23:30:00,0.0,1
2020-05-16 23:45:00,0.0,1
2020-05-17 00:00:00,0.0,2
2020-05-17 00:15:00,0.0,2
2020-05-17 00:30:00,0.0,2
2020-05-17 00:45:00,0.0,2
2020-05-17 01:00:00,0.0,2
2020-05-17 01:15:00,0.0,2
2020-05-17 01:30:00,0.0,2
2020-05-17 01:45:00,0.0,2
2020-05-17 02:00:00,0.0,2
2020-05-17 02:15:00,0.0,2
2020-05-17 02:30:00,0.0,2
2020-05-17 02:45:00,0.0,2
2020-05-17 03:00:00,0.0,2
2020-05-17 03:15:00,0.0,2
2020-05-17 03:30:00,0.0,2
2020-05-17 03:45:00,0.0,2
2020-05-17 04:00:00,0.0,2
2020-05-17 04:15:00,0.0,2
2020-05-17 04:30:00,0.0,2
2020-05-17 04:45:00,0.0,2
2020-05-17 05:00:00,0.0,2
2020-05-17 05:15:00,0.0,2
2020-05-17 05:30:00,0.0,2
2020-05-17 05:45:00,0.0,2
2020-05-17 06:00:00,85.45333333333333,2
2020-05-17 06:15:00,530.2542857142857,2
2020-05-17 06:30:00,790.055238095238,2
2020-05-17 06:45:00,942.8909523809524,2
2020-05-17 07:00:00,1497.9885714285715,2
2020-05-17 07:15:00,2247.4266666666667,2
2020-05-17 07:30:00,4074.0695238095236,2
2020-05-17 07:45:00,7276.105238095238,2
2020-05-17 08:00:00,12329.71619047619,2
2020-05-17 08:15:00,13375.270476190477,2
2020-05-17 08:30:00,14594.586666666666,2
2020-05-17 08:45:00,13939.560952380953,2
2020-05-17 09:00:00,15864.659523809523,2
2020-05-17 09:15:00,20434.131904761904,2
2020-05-17 09:30:00,17300.712857142855,2
2020-05-17 09:45:00,17717.393333333333,2
2020-05-17 10:00:00,15965.435714285713,2
2020-05-17 10:15:00,13423.970476190476,2
2020-05-17 10:30:00,17289.507619047617,2
2020-05-17 10:45:00,16788.320952380953,2
2020-05-17 11:00:00,15127.646666666667,2
2020-05-17 11:15:00,13797.64238095238,2
2020-05-17 11:30:00,12095.34,2
2020-05-17 11:45:00,14267.708571428571,2
2020-05-17 12:00:00,16429.01619047619,2
2020-05-17 12:15:00,17958.74,2
2020-05-17 12:30:00,18671.429523809522,2
2020-05-17 12:45:00,18492.44238095238,2
2020-05-17 13:00:00,18502.626666666667,2
2020-05-17 13:15:00,14833.030476190475,2
2020-05-17 13:30:00,9830.653333333334,2
2020-05-17 13:45:00,17951.210952380952,2
2020-05-17 14:00:00,16154.867142857143,2
2020-05-17 14:15:00,17191.741904761904,2
2020-05-17 14:30:00,14813.366666666667,2
2020-05-17 14:45:00,14521.96,2
2020-05-17 15:00:00,9389.083809523809,2
2020-05-17 15:15:00,7986.613333333333,2
2020-05-17 15:30:00,9297.790476190477,2
2020-05-17 15:45:00,9066.5,2
2020-05-17 16:00:00,9112.459523809523,2
2020-05-17 16:15:00,14004.575824175823,2
2020-05-17 16:30:00,13119.66238095238,2
2020-05-17 16:45:00,9941.61238095238,2
2020-05-17 17:00:00,2960.6,2
2020-05-17 17:15:00,3484.299523809524,2
2020-05-17 17:30:00,4954.152857142857,2
2020-05-17 17:45:00,2556.2395238095237,2
2020-05-17 18:00:00,2253.3366666666666,2
2020-05-17 18:15:00,845.96,2
2020-05-17 18:30:00,157.09857142857143,2
2020-05-17 18:45:00,0.0,2
2020-05-17 19:00:00,0.0,2
2020-05-17 19:15:00,0.0,2
2020-05-17 19:30:00,0.0,2
2020-05-17 19:45:00,0.0,2
2020-05-17 20:00:00,0.0,2
2020-05-17 20:15:00,0.0,2
2020-05-17 20:30:00,0.0,2
2020-05-17 20:45:00,0.0,2
2020-05-17 21:00:00,0.0,2
2020-05-17 21:15:00,0.0,2
2020-05-17 21:30:00,0.0,2
2020-05-17 21:45:00,0.0,2
2020-05-17 22:00:00,0.0,2
2020-05-17 22:15:00,0.0,2
2020-05-17 22:30:00,0.0,2
2020-05-17 22:45:00,0.0,2
2020-05-17 23:00:00,0.0,2
2020-05-17 23:15:00,0.0,2
2020-05-17 23:30:00,0.0,2
2020-05-17 23:45:00,0.0,2
2020-05-18 00:00:00,0.0,3
2020-05-18 00:15:00,0.0,3
2020-05-18 00:30:00,0.0,3
2020-05-18 00:45:00,0.0,3
2020-05-18 01:00:00,0.0,3
2020-05-18 01:15:00,0.0,3
2020-05-18 01:30:00,0.0,3
2020-05-18 01:45:00,0.0,3
2020-05-18 02:00:00,0.0,3
2020-05-18 02:15:00,0.0,3
2020-05-18 02:30:00,0.0,3
2020-05-18 02:45:00,0.0,3
2020-05-18 03:00:00,0.0,3
2020-05-18 03:15:00,0.0,3
2020-05-18 03:30:00,0.0,3
2020-05-18 03:45:00,0.0,3
2020-05-18 04:00:00,0.0,3
2020-05-18 04:15:00,0.0,3
2020-05-18 04:30:00,0.0,3
2020-05-18 04:45:00,0.0,3
2020-05-18 05:00:00,0.0,3
2020-05-18 05:15:00,0.0,3
2020-05-18 05:30:00,0.0,3
2020-05-18 05:45:00,0.0,3
2020-05-18 06:00:00,0.0,3
2020-05-18 06:15:00,0.0,3
2020-05-18 06:30:00,0.0,3
2020-05-18 06:45:00,0.0,3
2020-05-18 07:00:00,82.74666666666667,3
2020-05-18 07:15:00,318.20619047619044,3
2020-05-18 07:30:00,593.2871428571428,3
2020-05-18 07:45:00,1322.6414285714286,3
2020-05-18 08:00:00,3743.65,3
2020-05-18 08:15:00,7122.7071428571435,3
2020-05-18 08:30:00,9356.278095238094,3
2020-05-18 08:45:00,12306.028095238094,3
2020-05-18 09:00:00,13168.936666666666,3
2020-05-18 09:15:00,14446.750952380951,3
2020-05-18 09:30:00,17334.654285714285,3
2020-05-18 09:45:00,17378.552857142855,3
2020-05-18 10:00:00,15700.525714285714,3
2020-05-18 10:15:00,15725.287619047618,3
2020-05-18 10:30:00,10860.010476190477,3
2020-05-18 10:45:00,13576.18857142857,3
2020-05-18 11:00:00,17502.057619047617,3
2020-05-18 11:15:00,17018.78523809524,3
2020-05-18 11:30:00,17112.14,3
2020-05-18 11:45:00,17561.54095238095,3
2020-05-18 12:00:00,17315.75857142857,3
2020-05-18 12:15:00,15981.88095238095,3
2020-05-18 12:30:00,17892.292857142857,3
2020-05-18 12:45:00,14861.566666666666,3
2020-05-18 13:00:00,15050.046666666667,3
2020-05-18 13:15:00,15465.539999999999,3
2020-05-18 13:30:00,16775.294761904763,3
2020-05-18 13:45:00,16369.834761904762,3
2020-05-18 14:00:00,16919.540476190476,3
2020-05-18 14:15:00,17007.04,3
2020-05-18 14:30:00,16974.10523809524,3
2020-05-18 14:45:00,17422.714285714286,3
2020-05-18 15:00:00,17164.501904761906,3
2020-05-18 15:15:00,14748.004285714287,3
2020-05-18 15:30:00,11489.74857142857,3
2020-05-18 15:45:00,10882.764761904762,3
2020-05-18 16:00:00,13491.690476190475,3
2020-05-18 16:15:00,12289.881904761904,3
2020-05-18 16:30:00,8492.772380952381,3
2020-05-18 16:45:00,5862.802380952381,3
2020-05-18 17:00:00,5481.2,3
2020-05-18 17:15:00,4248.7585714285715,3
2020-05-18 17:30:00,2751.1957142857145,3
2020-05-18 17:45:00,1740.1204761904762,3
2020-05-18 18:00:00,1150.6138095238096,3
2020-05-18 18:15:00,579.0600000000001,3
2020-05-18 18:30:00,133.97095238095238,3
2020-05-18 18:45:00,0.0,3
2020-05-18 19:00:00,0.0,3
2020-05-18 19:15:00,0.0,3
2020-05-18 19:30:00,0.0,3
2020-05-18 19:45:00,0.0,3
2020-05-18 20:00:00,0.0,3
2020-05-18 20:15:00,0.0,3
2020-05-18 20:30:00,0.0,3
2020-05-18 20:45:00,0.0,3
2020-05-18 21:00:00,0.0,3
2020-05-18 21:15:00,0.0,3
2020-05-18 21:30:00,0.0,3
2020-05-18 21:45:00,0.0,3
2020-05-18 22:00:00,0.0,3
2020-05-18 22:15:00,0.0,3
2020-05-18 22:30:00,0.0,3
2020-05-18 22:45:00,0.0,3
2020-05-18 23:00:00,0.0,3
2020-05-18 23:15:00,0.0,3
2020-05-18 23:30:00,0.0,3
2020-05-18 23:45:00,0.0,3
2020-05-19 00:00:00,0.0,4
2020-05-19 00:15:00,0.0,4
2020-05-19 00:30:00,0.0,4
2020-05-19 00:45:00,0.0,4
2020-05-19 01:00:00,0.0,4
2020-05-19 01:15:00,0.0,4
2020-05-19 01:30:00,0.0,4
2020-05-19 01:45:00,0.0,4
2020-05-19 02:00:00,0.0,4
2020-05-19 02:15:00,0.0,4
2020-05-19 02:30:00,0.0,4
2020-05-19 02:45:00,0.0,4
2020-05-19 03:00:00,0.0,4
2020-05-19 03:15:00,0.0,4
2020-05-19 03:30:00,0.0,4
2020-05-19 03:45:00,0.0,4
2020-05-19 04:00:00,0.0,4
2020-05-19 04:15:00,0.0,4
2020-05-19 04:30:00,0.0,4
2020-05-19 04:45:00,0.0,4
2020-05-19 05:00:00,0.0,4
2020-05-19 05:15:00,0.0,4
2020-05-19 05:30:00,0.0,4
2020-05-19 05:45:00,0.0,4
2020-05-19 06:00:00,182.73285714285714,4
2020-05-19 06:15:00,1082.182857142857,4
2020-05-19 06:30:00,1811.04,4
2020-05-19 06:45:00,2623.6680952380952,4
2020-05-19 07:00:00,3232.983809523809,4
2020-05-19 07:15:00,7209.74619047619,4
2020-05-19 07:30:00,10247.57,4
2020-05-19 07:45:00,9801.866666666667,4
2020-05-19 08:00:00,9588.923333333334,4
2020-05-19 08:15:00,10127.865714285714,4
2020-05-19 08:30:00,10981.003333333332,4
2020-05-19 08:45:00,7208.878571428571,4
2020-05-19 09:00:00,13999.2,4
2020-05-19 09:15:00,9204.340952380953,4
2020-05-19 09:30:00,7470.413333333334,4
2020-05-19 09:45:00,7226.421904761904,4
2020-05-19 10:00:00,8244.935714285715,4
2020-05-19 10:15:00,3434.0280952380954,4
