TIME,DC_POWER,DATE
2023-11-01 07:00:00,894.147,0
2023-11-01 07:01:00,894.147,0
2023-11-01 07:02:00,894.147,0
2023-11-01 07:03:00,894.147,0
2023-11-01 07:04:00,894.147,0
2023-11-01 07:05:00,894.147,0
2023-11-01 07:06:00,894.147,0
2023-11-01 07:07:00,2442.2160000000003,0
2023-11-01 07:08:00,2442.2160000000003,0
2023-11-01 07:09:00,2442.2160000000003,0
2023-11-01 07:10:00,2442.2160000000003,0
2023-11-01 07:11:00,2442.2160000000003,0
2023-11-01 07:12:00,2442.2160000000003,0
2023-11-01 07:13:00,2442.2160000000003,0
2023-11-01 07:14:00,2442.2160000000003,0
2023-11-01 07:15:00,2442.2160000000003,0
2023-11-01 07:16:00,2442.2160000000003,0
2023-11-01 07:17:00,2442.2160000000003,0
2023-11-01 07:18:00,2442.2160000000003,0
2023-11-01 07:19:00,2442.2160000000003,0
2023-11-01 07:20:00,2442.2160000000003,0
2023-11-01 07:21:00,2442.2160000000003,0
2023-11-01 07:22:00,2442.2160000000003,0
2023-11-01 07:23:00,2442.2160000000003,0
2023-11-01 07:24:00,2442.2160000000003,0
2023-11-01 07:25:00,2442.2160000000003,0
2023-11-01 07:26:00,2442.2160000000003,0
2023-11-01 07:27:00,2442.2160000000003,0
2023-11-01 07:28:00,2442.2160000000003,0
2023-11-01 07:29:00,4528.9929999999995,0
2023-11-01 07:30:00,4528.9929999999995,0
2023-11-01 07:31:00,4528.9929999999995,0
2023-11-01 07:32:00,4528.9929999999995,0
2023-11-01 07:33:00,4528.9929999999995,0
2023-11-01 07:34:00,4528.9929999999995,0
2023-11-01 07:35:00,4528.9929999999995,0
2023-11-01 07:36:00,4528.9929999999995,0
2023-11-01 07:37:00,4528.9929999999995,0
2023-11-01 07:38:00,4528.9929999999995,0
2023-11-01 07:39:00,4528.9929999999995,0
2023-11-01 07:40:00,4528.9929999999995,0
2023-11-01 07:41:00,2415.209,0
2023-11-01 07:42:00,2415.209,0
2023-11-01 07:43:00,2415.209,0
2023-11-01 07:44:00,2415.209,0
